cf_id,contact_id,company_name,description,goal,pledged,outcome,currency,launch_date,end_date
37,3035,Landry Inc,Synergistic cohesive adapter,29600.0,77021.0,successful,GBP,1970-01-01 00:00:01.624078800,1970-01-01 00:00:01.624510800
1067,1640,Henson PLC,Universal contextually-based knowledgebase,56800.0,173437.0,successful,USD,1970-01-01 00:00:01.627102800,1970-01-01 00:00:01.628398800
3019,3274,Ramirez LLC,Multi-tiered maximized orchestration,5900.0,6608.0,successful,USD,1970-01-01 00:00:01.617598800,1970-01-01 00:00:01.623474000
2654,5200,"Thomas, Welch and Santana",Assimilated exuding toolset,9800.0,7120.0,failed,USD,1970-01-01 00:00:01.610517600,1970-01-01 00:00:01.620190800
76,3259,"Parker, Haley and Foster",Adaptive local task-force,2700.0,9967.0,successful,USD,1970-01-01 00:00:01.593061200,1970-01-01 00:00:01.622091600
2313,6020,Williams-Santos,Open-source analyzing monitoring,9400.0,6852.0,failed,CAD,1970-01-01 00:00:01.610690400,1970-01-01 00:00:01.617858000
349,4722,Brown-George,Cross-platform tertiary array,100.0,5.0,failed,GBP,1970-01-01 00:00:01.618894800,1970-01-01 00:00:01.625029200
766,5019,"Gordon, Mendez and Johnson",Fundamental needs-based frame,137600.0,180667.0,successful,USD,1970-01-01 00:00:01.598677200,1970-01-01 00:00:01.628139600
427,1553,"Martin, Lee and Armstrong",Open-architected incremental ability,1600.0,11108.0,successful,GBP,1970-01-01 00:00:01.605679200,1970-01-01 00:00:01.628139600
2931,2213,Vargas-Cox,Vision-oriented local contingency,98600.0,62174.0,canceled,USD,1970-01-01 00:00:01.620277200,1970-01-01 00:00:01.624338000
2467,5103,"Hobbs, Brown and Lee",Vision-oriented systematic Graphical User Interface,118400.0,49879.0,failed,AUD,1970-01-01 00:00:01.612677600,1970-01-01 00:00:01.623387600
1814,4796,Davis Ltd,Synchronized motivating solution,1400.0,14511.0,successful,USD,1970-01-01 00:00:01.602392400,1970-01-01 00:00:01.617598800
2499,4407,"Stafford, Hess and Raymond",Optional web-enabled extranet,2100.0,540.0,failed,USD,1970-01-01 00:00:01.632373200,1970-01-01 00:00:01.642485600
3098,3599,"Harris, Medina and Mitchell",Enhanced regional flexibility,5200.0,1583.0,failed,USD,1970-01-01 00:00:01.609567200,1970-01-01 00:00:01.620709200
2978,5815,"Miller, Glenn and Adams",Distributed actuating project,4700.0,11174.0,successful,USD,1970-01-01 00:00:01.616389200,1970-01-01 00:00:01.623214800
1387,2794,Williams and Sons,Profound composite core,2400.0,8558.0,successful,USD,1970-01-01 00:00:01.624942800,1970-01-01 00:00:01.634792400
1439,2545,"Ayala, Crawford and Taylor",Realigned 5thgeneration knowledge user,4000.0,2778.0,failed,USD,1970-01-01 00:00:01.613455200,1970-01-01 00:00:01.642399200
2948,5140,"Kane, Pruitt and Rivera",Cross-platform next generation service-desk,4800.0,7797.0,successful,USD,1970-01-01 00:00:01.637647200,1970-01-01 00:00:01.642140000
2734,5678,Estrada Group,Multi-lateral uniform collaboration,163600.0,126628.0,failed,USD,1970-01-01 00:00:01.604815200,1970-01-01 00:00:01.611295200
2599,4140,Wright-Bryant,Reverse-engineered client-server extranet,19800.0,153338.0,successful,AUD,1970-01-01 00:00:01.592629200,1970-01-01 00:00:01.621746000
1447,1321,Brown-Oliver,Synchronized cohesive encoding,8700.0,1577.0,failed,USD,1970-01-01 00:00:01.637647200,1970-01-01 00:00:01.638770400
1437,4861,"Peterson, Gonzalez and Spencer",Synchronized fault-tolerant algorithm,7500.0,11969.0,successful,USD,1970-01-01 00:00:01.600232400,1970-01-01 00:00:01.625893200
3209,4532,"Harris, Russell and Mitchell",User-centric cohesive policy,3600.0,10657.0,successful,USD,1970-01-01 00:00:01.611208800,1970-01-01 00:00:01.635829200
1755,1377,Gonzalez-White,Open-architected disintermediate budgetary management,2400.0,8117.0,successful,USD,1970-01-01 00:00:01.608530400,1970-01-01 00:00:01.635310800
1432,2712,Johnson Group,Vision-oriented interactive solution,7000.0,5177.0,failed,USD,1970-01-01 00:00:01.619067600,1970-01-01 00:00:01.641621600
2986,3684,Manning-Hamilton,Vision-oriented scalable definition,97300.0,153216.0,successful,USD,1970-01-01 00:00:01.609221600,1970-01-01 00:00:01.622350800
1788,4939,"Hernandez, Norton and Kelley",Expanded eco-centric policy,111100.0,62819.0,canceled,USD,1970-01-01 00:00:01.609308000,1970-01-01 00:00:01.629262800
1621,3765,Odom Inc,Managed bottom-line architecture,1400.0,14560.0,successful,USD,1970-01-01 00:00:01.611554400,1970-01-01 00:00:01.621918800
2156,4941,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200.0,2477.0,failed,USD,1970-01-01 00:00:01.634792400,1970-01-01 00:00:01.642399200
2502,6202,"Best, Carr and Williams",Diverse transitional migration,2000.0,1599.0,failed,USD,1970-01-01 00:00:01.610085600,1970-01-01 00:00:01.634274000
3122,5911,Watts Group,Universal 5thgeneration neural-net,5600.0,11924.0,successful,EUR,1970-01-01 00:00:01.615957200,1970-01-01 00:00:01.625720400
1482,3604,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700.0,4247.0,successful,USD,1970-01-01 00:00:01.621746000,1970-01-01 00:00:01.632373200
2389,2851,Casey-Kelly,Sharable holistic interface,7200.0,13653.0,successful,USD,1970-01-01 00:00:01.611554400,1970-01-01 00:00:01.643522400
1610,2109,"Gomez, Bailey and Flores",User-friendly static contingency,16800.0,37857.0,successful,USD,1970-01-01 00:00:01.604206800,1970-01-01 00:00:01.614837600
2311,1673,Farrell and Sons,Synergized 4thgeneration conglomeration,198500.0,123040.0,failed,AUD,1970-01-01 00:00:01.598158800,1970-01-01 00:00:01.616562000
2404,5501,Allen-Curtis,Phased human-resource core,70600.0,42596.0,canceled,USD,1970-01-01 00:00:01.599973200,1970-01-01 00:00:01.631854800
2588,3229,"Brown, Palmer and Pace",Networked stable workforce,100.0,1.0,failed,USD,1970-01-01 00:00:01.611208800,1970-01-01 00:00:01.625979600
174,4420,Meza-Rogers,Streamlined encompassing encryption,36400.0,26914.0,canceled,AUD,1970-01-01 00:00:01.606197600,1970-01-01 00:00:01.640498400
2824,1638,Carlson Inc,Ergonomic fresh-thinking installation,2100.0,4640.0,successful,USD,1970-01-01 00:00:01.609135200,1970-01-01 00:00:01.637733600
2427,5256,"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100.0,9134.0,successful,CHF,1970-01-01 00:00:01.630818000,1970-01-01 00:00:01.639634400
1134,5652,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100.0,3525.0,failed,CAD,1970-01-01 00:00:01.587013200,1970-01-01 00:00:01.614664800
611,3717,"Long, Morgan and Mitchell",Upgradable 4thgeneration productivity,42600.0,8517.0,failed,USD,1970-01-01 00:00:01.604728800,1970-01-01 00:00:01.623819600
777,5075,"Hull, Baker and Martinez",Digitized reciprocal infrastructure,1800.0,968.0,failed,USD,1970-01-01 00:00:01.584162000,1970-01-01 00:00:01.615615200
805,1243,Carney-Anderson,Digitized 5thgeneration knowledgebase,1000.0,4257.0,successful,USD,1970-01-01 00:00:01.608876000,1970-01-01 00:00:01.630213200
2159,1544,Sullivan Group,Open-source fresh-thinking policy,1400.0,14324.0,successful,USD,1970-01-01 00:00:01.622523600,1970-01-01 00:00:01.627102800
894,3025,Fox-Quinn,Enterprise-wide reciprocal success,67800.0,176398.0,successful,USD,1970-01-01 00:00:01.602651600,1970-01-01 00:00:01.614492000
1760,3353,Gallegos-Cobb,Object-based directional function,39500.0,4323.0,failed,AUD,1970-01-01 00:00:01.611208800,1970-01-01 00:00:01.638338400
1955,5544,"Hill, Martin and Garcia",Sharable scalable core,8400.0,10729.0,successful,USD,1970-01-01 00:00:01.598072400,1970-01-01 00:00:01.614578400
2635,6147,Robbins and Sons,Future-proofed directional synergy,100.0,3.0,failed,USD,1970-01-01 00:00:01.600232400,1970-01-01 00:00:01.614405600
614,4529,"Rosales, Branch and Harmon",Upgradable grid-enabled superstructure,80500.0,96735.0,successful,USD,1970-01-01 00:00:01.604383200,1970-01-01 00:00:01.632718800
1792,6084,Smith-Reid,Optimized actuating toolset,4100.0,959.0,failed,GBP,1970-01-01 00:00:01.604383200,1970-01-01 00:00:01.634446800
1204,5342,Allen-Jones,Centralized modular initiative,6300.0,9935.0,successful,USD,1970-01-01 00:00:01.626325200,1970-01-01 00:00:01.634014800
669,4087,Mason-Smith,Reverse-engineered cohesive migration,84300.0,26303.0,failed,USD,1970-01-01 00:00:01.628053200,1970-01-01 00:00:01.631509200
2741,4548,Lucas-Mullins,Business-focused dynamic instruction set,8100.0,1517.0,failed,DKK,1970-01-01 00:00:01.590555600,1970-01-01 00:00:01.616216400
641,4184,"Chase, Garcia and Johnson",Adaptive intangible database,3500.0,5037.0,successful,USD,1970-01-01 00:00:01.621486800,1970-01-01 00:00:01.624251600
336,3510,Miller-Irwin,Secured maximized policy,2200.0,8697.0,successful,USD,1970-01-01 00:00:01.637906400,1970-01-01 00:00:01.638424800
341,5842,"Young, Hart and Ryan",Decentralized demand-driven open system,5700.0,903.0,failed,USD,1970-01-01 00:00:01.627534800,1970-01-01 00:00:01.632546000
3004,4270,Young PLC,Innovative well-modulated functionalities,98700.0,131826.0,successful,USD,1970-01-01 00:00:01.598936400,1970-01-01 00:00:01.620018000
1194,6201,Mcgee Group,Assimilated discrete algorithm,66200.0,123538.0,successful,USD,1970-01-01 00:00:01.593234000,1970-01-01 00:00:01.620104400
3176,1791,Jordan-Acosta,Operative uniform hub,173800.0,198628.0,successful,USD,1970-01-01 00:00:01.582783200,1970-01-01 00:00:01.613109600
642,3314,Nunez Inc,Customizable intangible capability,70700.0,68602.0,failed,USD,1970-01-01 00:00:01.604642400,1970-01-01 00:00:01.626843600
2005,2646,Young LLC,Universal maximized methodology,74100.0,94631.0,successful,USD,1970-01-01 00:00:01.631422800,1970-01-01 00:00:01.633410000
2612,2140,Lawrence Group,Automated actuating conglomeration,3700.0,13755.0,successful,USD,1970-01-01 00:00:01.619154000,1970-01-01 00:00:01.643176800
807,3079,Gray-Davis,Re-contextualized local initiative,5200.0,8330.0,successful,USD,1970-01-01 00:00:01.615528800,1970-01-01 00:00:01.633582800
2889,3841,Perry PLC,Mandatory uniform matrix,3400.0,12275.0,successful,USD,1970-01-01 00:00:01.592888400,1970-01-01 00:00:01.620622800
2592,2749,Jones-Martin,Virtual systematic monitoring,8100.0,14083.0,successful,USD,1970-01-01 00:00:01.600664400,1970-01-01 00:00:01.613023200
1237,5976,Stewart LLC,Secured asymmetric projection,135600.0,62804.0,failed,USD,1970-01-01 00:00:01.613023200,1970-01-01 00:00:01.620536400
305,4666,Padilla-Porter,Innovative exuding matrix,148400.0,182302.0,successful,USD,1970-01-01 00:00:01.609394400,1970-01-01 00:00:01.629435600
2090,1568,"Turner, Young and Collins",Self-enabling clear-thinking framework,153800.0,60342.0,failed,USD,1970-01-01 00:00:01.603861200,1970-01-01 00:00:01.614405600
3136,4807,Smith-Miller,De-engineered cohesive moderator,7500.0,6924.0,failed,EUR,1970-01-01 00:00:01.617858000,1970-01-01 00:00:01.621400400
1883,3455,"Sanchez, Bradley and Flores",Centralized motivating capacity,138700.0,31123.0,canceled,CHF,1970-01-01 00:00:01.611986400,1970-01-01 00:00:01.634619600
1898,4465,Marsh-Coleman,Exclusive asymmetric analyzer,177700.0,180802.0,successful,USD,1970-01-01 00:00:01.601010000,1970-01-01 00:00:01.616475600
1859,3815,Taylor Inc,Public-key 3rdgeneration system engine,2800.0,7742.0,successful,USD,1970-01-01 00:00:01.596344400,1970-01-01 00:00:01.621832400
2215,3054,"Dougherty, Austin and Mills",De-engineered 5thgeneration contingency,170600.0,75022.0,failed,USD,1970-01-01 00:00:01.607666400,1970-01-01 00:00:01.622005200
2470,5869,Anderson Group,Organic maximized database,6300.0,14089.0,successful,DKK,1970-01-01 00:00:01.589000400,1970-01-01 00:00:01.619845200
2918,5109,Blair Inc,Configurable bandwidth-monitored throughput,9900.0,1269.0,failed,CHF,1970-01-01 00:00:01.612504800,1970-01-01 00:00:01.636002000
304,3650,Johns PLC,Distributed high-level open architecture,6800.0,14865.0,successful,USD,1970-01-01 00:00:01.604206800,1970-01-01 00:00:01.623474000
1654,4266,Martinez-Juarez,Realigned uniform knowledge user,31200.0,95364.0,successful,USD,1970-01-01 00:00:01.623042000,1970-01-01 00:00:01.635656400
913,4922,Clements Group,Assimilated actuating policy,9000.0,4896.0,canceled,USD,1970-01-01 00:00:01.612936800,1970-01-01 00:00:01.617858000
3145,2642,Rowe-Wong,Robust hybrid budgetary management,700.0,6654.0,successful,USD,1970-01-01 00:00:01.626411600,1970-01-01 00:00:01.639720800
653,3401,"Martinez, Garza and Young",Up-sized web-enabled info-mediaries,108500.0,175868.0,successful,EUR,1970-01-01 00:00:01.609912800,1970-01-01 00:00:01.635310800
1758,2816,Valencia PLC,Extended asynchronous initiative,3400.0,6405.0,successful,GBP,1970-01-01 00:00:01.620882000,1970-01-01 00:00:01.629522000
507,1742,"Ferguson, Murphy and Bright",Multi-lateral heuristic throughput,192100.0,178483.0,failed,USD,1970-01-01 00:00:01.619326800,1970-01-01 00:00:01.633842000
1016,2442,"Howell, Myers and Olson",Self-enabling mission-critical success,52600.0,31594.0,canceled,USD,1970-01-01 00:00:01.619240400,1970-01-01 00:00:01.628139600
3182,5734,Murray Ltd,Decentralized 4thgeneration challenge,6000.0,5438.0,failed,GBP,1970-01-01 00:00:01.605765600,1970-01-01 00:00:01.634706000
2205,1992,"Cardenas, Thompson and Carey",Configurable full-range emulation,9200.0,12322.0,successful,EUR,1970-01-01 00:00:01.618030800,1970-01-01 00:00:01.618894800
2285,6141,Evans-Jones,Switchable methodical superstructure,38500.0,182036.0,successful,USD,1970-01-01 00:00:01.615784400,1970-01-01 00:00:01.632286800
1780,1326,Dominguez-Owens,Open-architected systematic intranet,123600.0,5429.0,canceled,USD,1970-01-01 00:00:01.626411600,1970-01-01 00:00:01.629176400
1069,1592,"Glass, Baker and Jones",Business-focused 24hour access,117000.0,107622.0,failed,USD,1970-01-01 00:00:01.621832400,1970-01-01 00:00:01.640930400
2505,3234,Logan-Miranda,Proactive systemic firmware,29600.0,167005.0,successful,CAD,1970-01-01 00:00:01.635829200,1970-01-01 00:00:01.636524000
2782,3238,Mitchell-Lee,Customizable leadingedge model,2200.0,14420.0,successful,USD,1970-01-01 00:00:01.625288400,1970-01-01 00:00:01.626930000
2464,2578,Shaffer-Mason,Managed bandwidth-monitored system engine,1100.0,8010.0,successful,USD,1970-01-01 00:00:01.632718800,1970-01-01 00:00:01.637733600
864,1424,Murphy LLC,Customer-focused non-volatile framework,9400.0,968.0,failed,USD,1970-01-01 00:00:01.613887200,1970-01-01 00:00:01.623819600
988,5685,"Vega, Chan and Carney",Down-sized systematic utilization,7400.0,10451.0,successful,USD,1970-01-01 00:00:01.618722000,1970-01-01 00:00:01.637215200
1707,3275,Vance-Glover,Progressive coherent secured line,61200.0,60994.0,failed,CAD,1970-01-01 00:00:01.614405600,1970-01-01 00:00:01.636174800
415,3607,Welch Inc,Optional optimal website,6600.0,8276.0,successful,USD,1970-01-01 00:00:01.633496400,1970-01-01 00:00:01.639807200
751,3440,Wallace LLC,Centralized regional function,100.0,1.0,failed,CHF,1970-01-01 00:00:01.623906000,1970-01-01 00:00:01.626411600
1698,1368,English-Mccullough,Business-focused discrete software,2600.0,6987.0,successful,USD,1970-01-01 00:00:01.622437200,1970-01-01 00:00:01.632027600
2139,2987,Vincent PLC,Visionary 24hour analyzer,3200.0,2950.0,failed,DKK,1970-01-01 00:00:01.628830800,1970-01-01 00:00:01.640498400
2442,2431,Watson-Douglas,Centralized bandwidth-monitored leverage,9000.0,11721.0,successful,CAD,1970-01-01 00:00:01.616994000,1970-01-01 00:00:01.637992800
198,4547,"Valdez, Williams and Meyer",Cross-group heuristic forecast,1500.0,12009.0,successful,GBP,1970-01-01 00:00:01.613196000,1970-01-01 00:00:01.638597600
2136,4732,Stewart and Sons,Distributed optimizing protocol,54000.0,188982.0,successful,USD,1970-01-01 00:00:01.581919200,1970-01-01 00:00:01.609999200
3200,5126,Dyer Inc,Secured well-modulated system engine,4100.0,14640.0,successful,USD,1970-01-01 00:00:01.609480800,1970-01-01 00:00:01.617598800
1719,3329,"Hood, Perez and Meadows",Cross-group upward-trending hierarchy,100.0,1.0,failed,USD,1970-01-01 00:00:01.585976400,1970-01-01 00:00:01.615442400
1372,3826,Mueller-Harmon,Implemented tangible approach,7900.0,5465.0,failed,USD,1970-01-01 00:00:01.608876000,1970-01-01 00:00:01.639634400
1226,5696,Hogan Group,Versatile bottom-line definition,5600.0,8746.0,successful,USD,1970-01-01 00:00:01.619845200,1970-01-01 00:00:01.642485600
289,2984,"Mora, Miller and Harper",Stand-alone zero tolerance algorithm,2300.0,4883.0,successful,USD,1970-01-01 00:00:01.612072800,1970-01-01 00:00:01.623042000
3165,5235,Peterson Ltd,Re-engineered 24hour matrix,14500.0,159056.0,successful,USD,1970-01-01 00:00:01.587877200,1970-01-01 00:00:01.614492000
2925,4401,Nunez-King,Phased clear-thinking policy,2200.0,8501.0,successful,GBP,1970-01-01 00:00:01.586408400,1970-01-01 00:00:01.614924000
2247,4113,Logan-Curtis,Enhanced optimal ability,170600.0,114523.0,failed,USD,1970-01-01 00:00:01.605938400,1970-01-01 00:00:01.611036000
2408,4762,"Chan, Washington and Callahan",Optional zero administration neural-net,7800.0,3144.0,failed,USD,1970-01-01 00:00:01.618203600,1970-01-01 00:00:01.625202000
2632,3494,Ramirez LLC,Reduced reciprocal focus group,9800.0,11091.0,successful,USD,1970-01-01 00:00:01.607493600,1970-01-01 00:00:01.622005200
970,5468,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200.0,3208.0,failed,USD,1970-01-01 00:00:01.628830800,1970-01-01 00:00:01.630386000
1239,6181,Fitzgerald PLC,Realigned user-facing concept,106400.0,39996.0,failed,USD,1970-01-01 00:00:01.624597200,1970-01-01 00:00:01.628398800
253,5755,Douglas LLC,Reduced heuristic moratorium,900.0,9193.0,successful,USD,1970-01-01 00:00:01.633496400,1970-01-01 00:00:01.643263200
393,4181,"Frye, Hunt and Powell",Polarized incremental emulation,10000.0,2461.0,failed,EUR,1970-01-01 00:00:01.620622800,1970-01-01 00:00:01.627966800
1090,2277,Parker LLC,Customizable intermediate extranet,137200.0,88037.0,failed,USD,1970-01-01 00:00:01.638424800,1970-01-01 00:00:01.641967200
2536,2974,Smith and Sons,Upgradable high-level solution,15800.0,57157.0,successful,USD,1970-01-01 00:00:01.612245600,1970-01-01 00:00:01.639548000
3039,5066,Palmer Inc,Universal multi-state capability,63200.0,6041.0,failed,USD,1970-01-01 00:00:01.617598800,1970-01-01 00:00:01.625461200
2685,5773,Ferguson PLC,Public-key intangible superstructure,6300.0,13213.0,successful,USD,1970-01-01 00:00:01.601701200,1970-01-01 00:00:01.613714400
1401,4263,Richardson Inc,Assimilated fault-tolerant capacity,5000.0,8907.0,successful,USD,1970-01-01 00:00:01.613887200,1970-01-01 00:00:01.629003600
810,2269,Webb-Smith,Advanced content-based installation,9300.0,4124.0,failed,USD,1970-01-01 00:00:01.630731600,1970-01-01 00:00:01.638165600
179,2133,"Wang, Nguyen and Horton",Innovative holistic hub,6200.0,8645.0,successful,USD,1970-01-01 00:00:01.631250000,1970-01-01 00:00:01.636088400
1659,1373,Fox-Williams,Profound system-worthy functionalities,128900.0,196960.0,successful,USD,1970-01-01 00:00:01.639548000,1970-01-01 00:00:01.642053600
2182,1979,West-Stevens,Reactive solution-oriented groupware,1200.0,13513.0,successful,USD,1970-01-01 00:00:01.617080400,1970-01-01 00:00:01.626325200
985,2184,Ramos and Sons,Extended responsive Internet solution,100.0,1.0,failed,GBP,1970-01-01 00:00:01.623387600,1970-01-01 00:00:01.624856400
1519,3842,Rodriguez PLC,Grass-roots upward-trending installation,167500.0,114615.0,failed,USD,1970-01-01 00:00:01.579413600,1970-01-01 00:00:01.615701600
2004,3606,Bright and Sons,Object-based needs-based info-mediaries,6000.0,12468.0,successful,USD,1970-01-01 00:00:01.634965200,1970-01-01 00:00:01.637388000
733,5139,"Craig, Ellis and Miller",Persevering 5thgeneration throughput,84500.0,193101.0,successful,USD,1970-01-01 00:00:01.610344800,1970-01-01 00:00:01.623906000
2394,6234,Santos Group,Secured dynamic capacity,5600.0,9508.0,successful,USD,1970-01-01 00:00:01.607839200,1970-01-01 00:00:01.619758800
671,5602,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200.0,10295.0,successful,USD,1970-01-01 00:00:01.605074400,1970-01-01 00:00:01.636174800
1683,5753,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200.0,18829.0,failed,USD,1970-01-01 00:00:01.636869600,1970-01-01 00:00:01.641103200
2181,3443,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900.0,6430.0,successful,AUD,1970-01-01 00:00:01.622264400,1970-01-01 00:00:01.629435600
2912,3006,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200.0,170623.0,successful,USD,1970-01-01 00:00:01.625806800,1970-01-01 00:00:01.634274000
2465,5251,Avila-Jones,Implemented discrete secured line,5400.0,7322.0,successful,USD,1970-01-01 00:00:01.606975200,1970-01-01 00:00:01.637820000
2757,3456,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200.0,13632.0,successful,USD,1970-01-01 00:00:01.599541200,1970-01-01 00:00:01.618549200
64,1276,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500.0,175573.0,successful,USD,1970-01-01 00:00:01.605247200,1970-01-01 00:00:01.627016400
625,2260,Rodriguez-Brown,Devolved foreground benchmark,171300.0,100650.0,failed,USD,1970-01-01 00:00:01.611900000,1970-01-01 00:00:01.624165200
2915,3567,Hernandez Group,Ergonomic uniform open system,128100.0,40107.0,failed,DKK,1970-01-01 00:00:01.589605200,1970-01-01 00:00:01.616043600
1458,2114,"Summers, Gallegos and Stein",Mandatory mobile product,188100.0,5528.0,failed,USD,1970-01-01 00:00:01.600923600,1970-01-01 00:00:01.627362000
3195,3963,"Calhoun, Rogers and Long",Progressive discrete hub,6600.0,3012.0,failed,USD,1970-01-01 00:00:01.587790800,1970-01-01 00:00:01.616389200
2691,2969,Morgan-Warren,Face-to-face encompassing info-mediaries,87900.0,171549.0,successful,USD,1970-01-01 00:00:01.608444000,1970-01-01 00:00:01.627621200
735,2761,"Lloyd, Kennedy and Davis",Compatible multimedia hub,1700.0,5328.0,successful,USD,1970-01-01 00:00:01.614405600,1970-01-01 00:00:01.633150800
3168,1302,"Guerrero, Flores and Jenkins",Networked optimal architecture,3400.0,2809.0,failed,USD,1970-01-01 00:00:01.610431200,1970-01-01 00:00:01.640152800
2545,4328,Harris-Perry,User-centric 6thgeneration attitude,4100.0,3087.0,canceled,USD,1970-01-01 00:00:01.614924000,1970-01-01 00:00:01.627275600
80,4594,Guzman Group,Ameliorated disintermediate utilization,114300.0,96777.0,failed,USD,1970-01-01 00:00:01.612936800,1970-01-01 00:00:01.632286800
116,5810,Little-Marsh,Virtual attitude-oriented migration,8000.0,2758.0,failed,USD,1970-01-01 00:00:01.633582800,1970-01-01 00:00:01.640671200
2087,2017,Ramirez-Myers,Switchable intangible definition,900.0,14547.0,successful,USD,1970-01-01 00:00:01.606284000,1970-01-01 00:00:01.634360400
1409,3331,Leblanc-Pineda,Future-proofed upward-trending contingency,2700.0,1479.0,failed,USD,1970-01-01 00:00:01.628830800,1970-01-01 00:00:01.637474400
764,6089,Cruz Ltd,Exclusive dynamic adapter,114800.0,12938.0,canceled,CHF,1970-01-01 00:00:01.593147600,1970-01-01 00:00:01.615269600
1635,2383,"Acosta, Mullins and Morris",Pre-emptive interactive model,97300.0,62127.0,failed,USD,1970-01-01 00:00:01.622178000,1970-01-01 00:00:01.625115600
1653,1419,Schmidt-Gomez,User-centric impactful projection,5100.0,2064.0,failed,USD,1970-01-01 00:00:01.622610000,1970-01-01 00:00:01.630731600
3158,4952,Hensley Ltd,Versatile global attitude,6200.0,10938.0,successful,USD,1970-01-01 00:00:01.603861200,1970-01-01 00:00:01.614405600
1646,4765,"Wilson, Brooks and Clark",Operative well-modulated data-warehouse,146400.0,152438.0,successful,USD,1970-01-01 00:00:01.636869600,1970-01-01 00:00:01.639461600
726,2228,"Avila, Ford and Welch",Focused leadingedge matrix,9000.0,7227.0,failed,GBP,1970-01-01 00:00:01.590296400,1970-01-01 00:00:01.622005200
2082,2077,"Holt, Bernard and Johnson",Multi-lateral didactic encoding,115600.0,184086.0,successful,GBP,1970-01-01 00:00:01.609740000,1970-01-01 00:00:01.618117200
